"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
244,Outlast Trinity,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0,0.01,0.13,"2017-01-01"
245,Sonic Mania,Platform,Sega,0.09,0.03,0,0.01,0.13,"2017-01-01"
246,Dead by Daylight,Action,"505 Games",0.08,0.03,0,0.01,0.12,"2017-01-01"
247,Darksiders III,Action,THQ Nordic,0.11,0,0,0.01,0.12,"2018-01-01"
248,Vampyr,Role-Playing,Focus Home Interactive,0.07,0.04,0,0.01,0.12,"2018-01-01"
249,The Walking Dead - The Telltale Series: A New Frontier,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.12,"2017-01-01"
250,NASCAR Heat 2,Racing,"505 Games",0.11,0,0,0.01,0.12,"2017-01-01"
251,Life is Strange,Adventure,Square Enix,0.08,0.03,0,0.01,0.12,"2016-01-01"
252,Wolfenstein The Two Pack,Shooter,Bethesda Softworks,0.11,0,0,0.01,0.12,"2017-01-01"
253,The Surge,Action,Koch Media,0.07,0.04,0,0.01,0.12,"2017-01-01"
254,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,Fighting,Namco Bandai Games,0.11,0,0,0.01,0.12,"2017-01-01"
255,Pro Evolution Soccer 2016,Sports,Konami Digital Entertainment,0.05,0.06,0,0.01,0.12,"2015-01-01"
256,Pro Evolution Soccer 2018,Sports,Konami Digital Entertainment,0.06,0.05,0,0.01,0.12,"2017-01-01"
257,"7 Days to Die",Action,Telltale Games,0.09,0.02,0,0.01,0.12,"2016-01-01"
258,Zombie Army Trilogy,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.12,"2015-01-01"
259,Prototype: Biohazard Bundle,Action,Activision,0.1,0,0,0.01,0.11,"2016-01-01"
260,Ride,Racing,Milestone S.r.l.,0.05,0.05,0,0.01,0.11,"2015-01-01"
261,Agents of Mayhem,Action,Deep Silver,0.07,0.03,0,0.01,0.11,"2017-01-01"
262,Metal Gear Solid V: The Definitive Experience,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,"2016-01-01"
263,Killer Instinct (2013),Fighting,Microsoft Studios,0.07,0.03,0,0.01,0.11,"2014-01-01"
